requirement_id,objective_section,requirement,status,evidence,evidence_artifacts,gap
cross_phase_alb2002_linked_candidate_descriptive_screen,phase5_phase6,Summarize the ALB_2002 temp-only linked candidate in a descriptive audit screen without satisfying promoted descriptive diagnostics.,satisfied,input rows=14396; household rows=3599; window rows=4; audit rows=7; cell rows=108; household cells=4; subgroup cells=24; climate flag cells=16; outcome-by-climate cells=64; CHE10-or-access households=2004; CHE25-or-access households=1889; combined stress rows=3092; climate-ready rows=0; outcome-ready rows=0; data-write-ready rows=0; decision=blocked_alb2002_linked_candidate_descriptive_screen_not_promoted_due_unpromoted_inputs,result/alb2002_linked_candidate_descriptive_audit.csv;result/alb2002_linked_candidate_descriptive_cells.csv;result/alb2002_linked_candidate_descriptive_summary.csv;report/alb2002_linked_candidate_descriptive_diagnostics.md,
cross_phase_alb2002_weight_design_evidence_audit,phase3_phase4,Verify ALB_2002 household weight and survey-design evidence before any harmonized data promotion or weighted inference.,satisfied,audit rows=6; summary rows=11; source flags=9; raw weight rows=3599; positive weights=3599; key matches=3599; distinct PSU=450; distinct strata=4; weighted-inference ready rows=0; harmonized-ready rows=0; decision=blocked_alb2002_weight_design_semantics_not_promotion_ready,temp/alb2002_weight_design_evidence_audit.csv;result/alb2002_weight_design_evidence_summary.csv;report/alb2002_weight_design_evidence_audit.md;temp/source_snapshots/alb2002_worldbank_study_description_weight_design.html,
cross_phase_alb2002_sample_design_documentation_audit,phase3_phase4,Snapshot the official ALB_2002 Basic Information document and verify sample-design count concordance before weighted descriptive or harmonized-data promotion.,satisfied,audit rows=7; summary rows=21; pdf available=1; pages=66; official 450x8 rows=1; official 3599 rows=1; raw weight rows=3599; positive weights=3599; distinct PSU=450; concordance rows=1; documentation-ready rows=1; weighted-inference-ready rows=0; decision=candidate_alb2002_sample_design_documented_not_promoted_due_downstream_gates,temp/alb2002_sample_design_documentation_audit.csv;result/alb2002_sample_design_documentation_summary.csv;report/alb2002_sample_design_documentation_audit.md;temp/source_snapshots/alb2002_basic_information_document_sample_design.pdf;temp/source_snapshots/alb2002_basic_information_document_sample_design.txt,
cross_phase_alb2002_minimum_recipe_promotion_packet,phase4,"Map the top-ranked ALB_2002 temp candidate to explicit harmonization, outcome, SDG 3.8.2, and climate-linkage promotion gates before any data promotion.",satisfied,action rows=6; gate rows=10; blocked gates=7; candidate gates=3; weight-positive rows=3599; weight-key-match rows=3599; weighted-inference-ready rows=0; harmonized-ready rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_minimum_recipe_not_ready_for_promotion,temp/alb2002_minimum_recipe_promotion_action_queue.csv;temp/alb2002_minimum_recipe_promotion_gate_checklist.csv;result/alb2002_minimum_recipe_promotion_summary.csv;report/alb2002_minimum_recipe_promotion_packet.md,
cross_phase_alb2002_district_climate_crosswalk_audit,phase5,Build a temp-only ALB_2002 district climate-crosswalk template and public boundary metadata probe before any climate-linkage promotion.,satisfied,template rows=36; source rows=1; summary rows=13; district rows=36; source reachable rows=1; climate-linkage ready rows=0,temp/alb2002_district_climate_crosswalk_template.csv;temp/alb2002_district_boundary_source_probe.csv;result/alb2002_district_climate_crosswalk_summary.csv;report/alb2002_district_climate_crosswalk_audit.md,
cross_phase_alb2002_boundary_name_match_audit,phase5,Download and compare public current ADM2 boundary names against ALB_2002 survey district labels before any admin-level climate-linkage promotion.,satisfied,match rows=36; boundary features=37; summary rows=16; exact matches=34; repaired matches=1; unmatched survey rows=1; duplicate boundary-name keys=2; historical-ready rows=0; climate-linkage ready rows=0,temp/alb2002_boundary_name_match_audit.csv;temp/alb2002_boundary_geojson_inventory.csv;result/alb2002_boundary_name_match_summary.csv;report/alb2002_boundary_name_match_audit.md,
cross_phase_alb2002_boundary_source_alternatives_audit,phase5,Audit public/current/historical boundary-source alternatives for ALB_2002 before any admin-level climate-linkage promotion.,satisfied,source alternatives=6; reachable/local rows=4; historical-ready rows=0; climate-linkage-ready rows=0,temp/alb2002_boundary_source_alternative_audit.csv;result/alb2002_boundary_source_alternative_summary.csv;report/alb2002_boundary_source_alternative_audit.md,
cross_phase_alb2002_boundary_resource_search_audit,phase5,Parse public boundary/gazetteer resources for ALB_2002 name coverage while keeping historical-boundary and climate-linkage promotion blocked.,satisfied,candidate resources=3; complete-name-coverage resources=1; exact-unit-count resources=1; best-candidate exact/repaired/alias matches=33/2/1; historical-ready rows=0; climate-linkage-ready rows=0,temp/alb2002_boundary_source_resource_search_audit.csv;result/alb2002_boundary_source_resource_search_summary.csv;report/alb2002_boundary_source_resource_search_audit.md,
cross_phase_alb2002_boundary_geometry_provenance_audit,phase5,Parse the strongest ALB_2002 boundary lead for geometry structure and companion metadata provenance before any climate-linkage promotion.,satisfied,geometry rows=36; metadata rows=12; feature rows=36; coordinate-structure-ok rows=36; survey-key matched rows=36; metadata boundary year=2013; year-matches-2002 rows=0; topology-validated rows=0; historical-ready rows=0; climate-linkage-ready rows=0,temp/alb2002_boundary_geometry_provenance_audit.csv;temp/alb2002_boundary_metadata_provenance_probe.csv;result/alb2002_boundary_geometry_provenance_summary.csv;report/alb2002_boundary_geometry_provenance_audit.md,
cross_phase_alb2002_boundary_manual_verification_packet,phase5,Create an ALB_2002 manual boundary verification packet that maps unresolved geography blockers to source-specific actions and pass/fail promotion gates.,satisfied,action rows=7; gate rows=9; candidate-evidence gates=3; blocked gates=6; high-priority actions=3; pre-2011 digital-map absence rows=1; climate-linkage-ready rows=0,temp/alb2002_boundary_manual_verification_action_queue.csv;temp/alb2002_boundary_promotion_gate_checklist.csv;result/alb2002_boundary_manual_verification_packet_summary.csv;report/alb2002_boundary_manual_verification_packet.md,
cross_phase_alb2002_boundary_manual_source_followup,phase5,Follow up the ALB_2002 manual boundary source queue and record whether high-priority public/official leads provide 36-district-compatible 2001/2002 boundary evidence.,satisfied,follow-up rows=7; conclusive blocker rows=7; district-level-ready rows=0; climate-linkage-ready rows=0; UNECE pre-2011 map status=blocked_pre2011_digital_boundary_source_absence_documented,temp/alb2002_boundary_manual_source_followup_audit.csv;result/alb2002_boundary_manual_source_followup_summary.csv;report/alb2002_boundary_manual_source_followup.md,
cross_phase_alb2002_gadm_boundary_lead_audit,phase5,Audit public GADM Albania ADM2 shapefiles as a potential ALB_2002 district-boundary lead without promoting them until historical 2001/2002 provenance and duplicate-key issues are resolved.,satisfied,candidates=2; GADM 3.6 rows=37; normalized keys=36; complete name coverage=1; duplicate keys=1; historical-ready rows=0; climate-linkage-ready rows=0; decision=blocked_gadm_boundary_lead_no_verified_2002_historical_provenance,temp/alb2002_gadm_boundary_lead_audit.csv;temp/alb2002_gadm_boundary_name_match_audit.csv;result/alb2002_gadm_boundary_lead_summary.csv;report/alb2002_gadm_boundary_lead_audit.md;temp/source_snapshots/gadm36_ALB_shp.zip;temp/source_snapshots/gadm41_ALB_shp.zip,
cross_phase_alb2002_local_geography_artifact_audit,phase5,"Scan ALB_2002 local raw package, raw schema, and questionnaire workbook for GPS, coordinate, EA, admin, and GIS artifacts before any climate-linkage promotion.",satisfied,files scanned=44; raw coordinate variables=0; questionnaire coordinate fields=2; admin/sampling geography variables=55; local-coordinate-ready rows=0; local-boundary-ready rows=0; climate-linkage-ready rows=0,temp/alb2002_local_geography_artifact_audit.csv;result/alb2002_local_geography_artifact_summary.csv;report/alb2002_local_geography_artifact_audit.md,
cross_phase_alb2012_raw_core_feasibility,phase3,Read ALB_2012 raw files into a temp-only core feasibility audit before any harmonization or climate-linkage promotion.,satisfied,candidate rows=6671; audit rows=10; lineage rows=7; summary rows=18; positive OOP4w rows=2794; recipe-ready rows=0; climate-linkage ready rows=0; timing rows=0,temp/alb2012_household_core_candidate.csv;temp/alb2012_raw_core_feasibility_audit.csv;temp/alb2012_raw_core_lineage.csv;result/alb2012_raw_core_feasibility_summary.csv;report/alb2012_raw_core_feasibility.md,
cross_phase_alb2012_provisional_outcome_feasibility,phase4,"Audit ALB_2012 provisional OOP, access, need, and composite outcome signals without promoting final outcomes.",satisfied,audit rows=33; summary rows=23; outcome-ready rows=0; climate-linkage ready rows=0,temp/alb2012_provisional_outcome_feasibility_audit.csv;result/alb2012_provisional_outcome_feasibility_summary.csv;report/alb2012_provisional_outcome_feasibility.md,
cross_phase_alb2012_outcome_semantics_raw_value_audit,phase4,"Audit ALB_2012 raw payment, gift, access, need, coping, and service-quality labels/values before any outcome or SDG 3.8.2 promotion.",satisfied,audit rows=61; summary rows=16; OOP candidates=37; gift candidates=7; access candidates=8; service-quality proxy rows=7; conditional reason rows=4; outcome-ready rows=0; SDG 3.8.2-ready rows=0; climate-linkage-ready rows=0,temp/alb2012_outcome_semantics_raw_value_audit.csv;result/alb2012_outcome_semantics_raw_value_summary.csv;report/alb2012_outcome_semantics_raw_value_audit.md,
cross_phase_alb2012_timing_geography_exhaustive_audit,phase5,"Scan ALB_2012 raw files exhaustively for interview timing, GPS/coordinate, and usable geography evidence before any climate-linkage promotion.",satisfied,audit rows=212; summary rows=15; interview timing verified rows=0; coordinate candidate rows=0; climate-linkage ready rows=0,temp/alb2012_timing_geography_exhaustive_audit.csv;result/alb2012_timing_geography_exhaustive_summary.csv;report/alb2012_timing_geography_exhaustive_audit.md,
cross_phase_alb2012_questionnaire_timing_field_audit,phase5,Audit ALB_2012 questionnaire control-sheet timing fields and prove they are not yet raw household timing values for climate windows.,satisfied,field rows=29; raw gap rows=12; raw control candidate rows=0; raw verified interview timing rows=0; climate-linkage ready rows=0,temp/alb2012_questionnaire_timing_field_audit.csv;temp/alb2012_questionnaire_timing_raw_gap_audit.csv;result/alb2012_questionnaire_timing_field_summary.csv;report/alb2012_questionnaire_timing_field_audit.md,
cross_phase_albania_legacy_questionnaire_readability_audit,phase2,Inventory ALB_2002/2005/2008 legacy questionnaire workbooks and verify whether the current environment can read them before using questionnaire timing or skip-pattern evidence.,satisfied,present files=5; read-ok files=5; missing-reader blocked files=0; timing-content-ready rows=5; climate-linkage ready rows=0,temp/albania_legacy_questionnaire_readability_audit.csv;result/albania_legacy_questionnaire_readability_summary.csv;report/albania_legacy_questionnaire_readability_audit.md,
cross_phase_albania_legacy_questionnaire_timing_field_audit,phase5,Audit readable ALB_2002/2005/2008 legacy questionnaire timing/control fields and keep them out of climate linkage unless raw household timing/geography gates pass.,satisfied,field rows=83; raw gap rows=58; raw verified interview timing rows=3599; climate-linkage ready rows=0,temp/albania_legacy_questionnaire_timing_field_audit.csv;temp/albania_legacy_questionnaire_timing_raw_gap_audit.csv;result/albania_legacy_questionnaire_timing_field_summary.csv;report/albania_legacy_questionnaire_timing_field_audit.md,
cross_phase_alb2005_documented_harmonization_review,phase3,"For raw-ready ALB_2005, verify documented candidates and false positives before harmonization recipe promotion.",satisfied,evidence rows=44; summary rows=10; recipe-ready rows=0,temp/alb2005_documented_variable_evidence.csv;result/alb2005_documented_harmonization_summary.csv;report/alb2005_documented_harmonization_review.md,
cross_phase_alb2005_household_core_merge_audit,phase3,"Build a temp-only ALB_2005 household core candidate only after merge-key coverage is audited, and keep it out of data until recipe gates pass.",satisfied,candidate rows=3840; merge audit rows=8; lineage rows=6; summary rows=33; recipe-ready rows=0,temp/alb2005_household_core_candidate.csv;temp/alb2005_household_core_merge_audit.csv;temp/alb2005_household_core_lineage.csv;result/alb2005_household_core_candidate_summary.csv;report/alb2005_household_core_merge_audit.md,
cross_phase_alb2005_provisional_outcome_feasibility,phase4,"Compute ALB_2005 provisional outcome event-rate diagnostics only after raw household-core assembly, and keep all final outcome promotion blocked.",satisfied,audit rows=23; summary rows=10; ready rows=0,temp/alb2005_provisional_outcome_feasibility_audit.csv;result/alb2005_provisional_outcome_feasibility_summary.csv;report/alb2005_provisional_outcome_feasibility.md,
cross_phase_alb2005_outcome_semantics_raw_value_audit,phase4,"Audit ALB_2005 raw payment, gift, access, need, and coping labels/values before any outcome or SDG 3.8.2 promotion.",satisfied,audit rows=53; summary rows=15; OOP candidates=36; gift candidates=7; access candidates=8; conditional reason rows=3; outcome-ready rows=0; SDG 3.8.2-ready rows=0; climate-linkage-ready rows=0,temp/alb2005_outcome_semantics_raw_value_audit.csv;result/alb2005_outcome_semantics_raw_value_summary.csv;report/alb2005_outcome_semantics_raw_value_audit.md,
cross_phase_alb2005_timing_geography_exhaustive_audit,phase5,"Exhaustively scan ALB_2005 raw timing/geography candidates before constructing climate-linkage inputs, and keep linkage blocked until interview timing and geography are verified.",satisfied,audit rows=234; summary rows=15; climate-linkage-ready rows=0,temp/alb2005_timing_geography_exhaustive_audit.csv;result/alb2005_timing_geography_exhaustive_summary.csv;report/alb2005_timing_geography_exhaustive_audit.md,
cross_phase_alb2005_timing_geography_source_search_audit,phase5,"Search ALB_2005 raw schema, file inventory, questionnaires, and upstream audit evidence for household interview timing and current-location geography before any climate-linkage promotion.",satisfied,audit rows=11; summary rows=19; evidence rows=11; target concepts=5; local files scanned=46; local variables scanned=1187; questionnaire workbooks=2; raw targets with hits=4; questionnaire targets with hits=5; legacy timing rows=83; verified timing rows=0; coordinate candidates=0; partial district variables=2; district-name rows=1899; district-code rows=329; required-value timing rows=0; required-value coordinate rows=0; geography-ready rows=0; interview-ready rows=0; climate-ready rows=0; decision=blocked_alb2005_timing_geography_source_search_not_ready,temp/alb2005_timing_geography_source_search_audit.csv;result/alb2005_timing_geography_source_search_summary.csv;report/alb2005_timing_geography_source_search_audit.md,
cross_phase_alb2005_required_value_key_audit,phase3,"Read ALB_2005 raw files for required value/key distributions, coverage, and labels while keeping recipe promotion blocked until timing, geography, unit, recall, and skip-pattern gates pass.",satisfied,audit rows=26; summary rows=45; total-consumption nonmissing=3638; OOP 4w positive households=2679; OOP 12m positive households=2231; district-code nonmissing=329; timing rows=0; coordinate-ready rows=0; climate-ready rows=0; recipe-ready rows=0,temp/alb2005_required_value_key_audit.csv;result/alb2005_required_value_key_summary.csv;report/alb2005_required_value_key_audit.md,
cross_phase_alb2005_health_questionnaire_semantics_audit,phase3,"Read the ALB_2005 health questionnaire to document OOP recall/unit/scope and access-barrier semantics while keeping recipe, outcome, and climate promotion blocked.",satisfied,audit rows=58; summary rows=25; OOP item rows=36; old-lek rows=36; access rows=7; cost-barrier rows=3; recipe-ready rows=0; outcome-ready rows=0; climate-ready rows=0,temp/alb2005_health_questionnaire_semantics_audit.csv;result/alb2005_health_questionnaire_semantics_summary.csv;report/alb2005_health_questionnaire_semantics_audit.md,
cross_phase_alb2005_oop_aggregation_policy_audit,phase4,Stress-test ALB_2005 OOP aggregation choices against questionnaire-backed payment-scope evidence without constructing final outcomes.,satisfied,audit rows=11; summary rows=17; policies=11; households=3840; total-consumption rows=3638; questionnaire OOP rows=36; old-lek rows=36; outcome-ready rows=0; recipe-ready rows=0; climate-ready rows=0,temp/alb2005_oop_aggregation_policy_audit.csv;result/alb2005_oop_aggregation_policy_summary.csv;report/alb2005_oop_aggregation_policy_audit.md,
cross_phase_alb2005_skip_missing_semantics_audit,phase4,Audit ALB_2005 raw trigger/downstream skip and missing-code behavior before any outcome construction or harmonization recipe promotion.,satisfied,audit rows=13; summary rows=21; skip rows=13; payment nonmissing leaks=0; payment positive leaks=0; condition leaks=0; condition missing when triggered=0; financing leaks=0; financing missing when triggered=0; zero-or-missing triggered payment rows=326; recipe-ready rows=0; outcome-ready rows=0; climate-ready rows=0,temp/alb2005_skip_missing_semantics_audit.csv;result/alb2005_skip_missing_semantics_summary.csv;report/alb2005_skip_missing_semantics_audit.md,
cross_phase_alb2005_consumption_oop_unit_period_audit,phase4,"Audit ALB_2005 total-consumption unit/period evidence and OOP recall-period compatibility before any CHE, SDG 3.8.2, recipe, or climate-linkage promotion.",satisfied,audit rows=12; summary rows=23; evidence rows=12; positive total-consumption rows=3638; positive rcons rows=3638; metadata old-lek rows=6; OOP old-lek rows=36; four-week OOP rows=26; twelve-month OOP rows=10; nonfood old-lek questionnaire rows=15; SDG-ready rows=0; recipe-ready rows=0; outcome-ready rows=0; climate-ready rows=0; decision=blocked_alb2005_consumption_oop_unit_period_not_ready,temp/alb2005_consumption_oop_unit_period_audit.csv;result/alb2005_consumption_oop_unit_period_summary.csv;report/alb2005_consumption_oop_unit_period_audit.md,
cross_phase_alb2005_consumption_aggregate_metadata_crosswalk_audit,phase4,Crosswalk ALB_2005 public metadata aggregate/component variables against local poverty.sav before denominator reconstruction or variant choice.,satisfied,audit rows=16; summary rows=15; evidence rows=16; metadata rows=9; local poverty columns=16; metadata present locally=1; metadata absent locally=8; per-capita diagnostics=6; positive totcons rows=3638; local totcons05 rows=0; formula reconstructable rows=0; SDG-ready rows=0; recipe-ready rows=0; outcome-ready rows=0; climate-ready rows=0; decision=blocked_alb2005_consumption_aggregate_metadata_crosswalk_not_ready,temp/alb2005_consumption_aggregate_metadata_crosswalk_audit.csv;result/alb2005_consumption_aggregate_metadata_crosswalk_summary.csv;report/alb2005_consumption_aggregate_metadata_crosswalk_audit.md,
cross_phase_alb2005_consumption_component_source_search_audit,phase4,"Search local ALB_2005 raw schema, questionnaires, and source-code-like files for public-metadata consumption components before denominator reconstruction.",satisfied,audit rows=37; summary rows=17; evidence rows=37; targets=9; local files scanned=46; local variables scanned=1187; exact target variables found=1; exact target variables missing=8; label phrase targets=5; questionnaire phrase targets=5; construction code files=0; construction code targets=0; recipe-ready rows=0; outcome-ready rows=0; SDG-ready rows=0; climate-ready rows=0; decision=blocked_alb2005_consumption_component_source_search_not_ready,temp/alb2005_consumption_component_source_search_audit.csv;result/alb2005_consumption_component_source_search_summary.csv;report/alb2005_consumption_component_source_search_audit.md,
cross_phase_alb2005_harmonization_value_decision_audit,phase3,"Classify ALB_2005 harmonization gate blockers using wave-specific source evidence, while keeping value-audit and recipe promotion fail-closed.",satisfied,audit rows=43; summary rows=49; recipe-ready rows=0; required blocked rows=16,temp/alb2005_harmonization_value_decision_audit.csv;result/alb2005_harmonization_value_decision_summary.csv;report/alb2005_harmonization_value_decision_audit.md,
cross_phase_alb2005_minimum_recipe_promotion_packet,phase3,"Map the raw-ready ALB_2005 temp candidate to explicit harmonization, outcome, and climate promotion gates before any analysis-ready data promotion.",satisfied,action rows=6; gate rows=10; blocked gates=8; candidate gates=2; harmonized-ready rows=0; outcome-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2005_minimum_recipe_not_ready_for_promotion,temp/alb2005_minimum_recipe_promotion_action_queue.csv;temp/alb2005_minimum_recipe_promotion_gate_checklist.csv;result/alb2005_minimum_recipe_promotion_summary.csv;report/alb2005_minimum_recipe_promotion_packet.md,
cross_phase_alb2005_public_fieldwork_geo_metadata_audit,phase5,"Verify ALB_2005 public fieldwork/GPS/geography metadata while keeping household timing, coordinates, and climate linkage blocked until raw values pass.",satisfied,audit rows=10; summary rows=14; evidence rows=10; verified source rows=10; missing source rows=0; fieldwork rows=5; GPS claim rows=3; sampling geography rows=2; household timing rows=0; raw coordinate rows=0; climate-linkage rows=0; decision=blocked_public_metadata_not_household_climate_linkage_ready,temp/alb2005_public_fieldwork_geo_metadata_audit.csv;result/alb2005_public_fieldwork_geo_metadata_summary.csv;report/alb2005_public_fieldwork_geo_metadata_audit.md,
cross_phase_alb2005_diary_timing_candidate_audit,phase5,"Identify ALB_2005 bookmetadata diary beginning/finishing date candidates while blocking household timing promotion until raw values, merge coverage, and semantics pass.",satisfied,audit rows=11; summary rows=13; candidate rows=11; metadata found rows=11; schema file rows=3840; raw bookmetadata present=0; key candidate rows=3; date candidate rows=6; household timing promoted rows=0; climate-linkage rows=0; decision=blocked_diary_timing_metadata_candidate_no_raw_merge_semantics,temp/alb2005_diary_timing_candidate_audit.csv;result/alb2005_diary_timing_candidate_summary.csv;report/alb2005_diary_timing_candidate_audit.md,
cross_phase_alb2005_extracted_module_coverage_audit,phase2,"Compare ALB_2005 DDI modules to the local archive manifest and extracted package and document missing timing, food diary, design, and coordinate evidence before harmonization or climate linkage.",satisfied,audit rows=68; extra rows=2; archive manifest rows=61; summary rows=21; DDI modules=68; archive members=61; archive sav files=44; archive questionnaires=2; archive DDI present rows=41; archive DDI absent rows=27; archive critical absent rows=8; archive listing status=tar_listing_available; present rows=41; missing rows=27; extracted files=44; bookmetadata missing rows=1; food diary missing rows=5; critical missing rows=8; coordinate metadata variables=0; coordinate extracted files=0; harmonized-ready rows=0; household timing rows=0; climate-linkage rows=0; decision=blocked_extracted_package_missing_bookmetadata_and_coordinate_values,temp/alb2005_extracted_module_coverage_audit.csv;temp/alb2005_extracted_extra_files_audit.csv;temp/alb2005_archive_member_manifest.csv;result/alb2005_extracted_module_coverage_summary.csv;report/alb2005_extracted_module_coverage_audit.md,
cross_phase_alb2005_fallback_blocker_resolution_matrix,phase3_phase5,"Consolidate ALB_2005 source-package, timing, geography, outcome, and first-analysis fallback blockers before substituting it for ALB_2002.",satisfied,matrix rows=12; summary rows=14; raw-package rows=1; timing rows=3; geography rows=2; outcome rows=3; promotion-gate rows=3; hard-blocked rows=12; harmonized-ready rows=0; outcome-ready rows=0; interview-timing-ready rows=0; geography-ready rows=0; climate-linkage-ready rows=0; data-write-ready rows=0; decision=blocked_alb2005_no_fallback_ready,temp/alb2005_fallback_blocker_resolution_matrix.csv;result/alb2005_fallback_blocker_resolution_summary.csv;report/alb2005_fallback_blocker_resolution_matrix.md,
cross_phase_albania_first_analysis_promotion_gate,phase3,"Rank local Albania raw waves for the first possible harmonized, outcome-audited, climate-linked analytical dataset while keeping data promotion blocked until all gates pass.",satisfied,wave rows=4; gate rows=40; blocked gates=19; ready waves=0; harmonized-ready rows=0; outcome-ready rows=0; climate-linkage-ready rows=0; decision=blocked_no_albania_wave_ready_for_first_analysis_promotion,temp/albania_first_analysis_promotion_gate_checklist.csv;temp/albania_first_analysis_promotion_action_queue.csv;result/albania_first_analysis_promotion_wave_ranking.csv;result/albania_first_analysis_promotion_summary.csv;report/albania_first_analysis_promotion_gate.md,
cross_phase_albania_existing_raw_wave_audit,phase2,Identify already-present Albania raw waves beyond ALB_2005 and keep them queued for wave-specific schema/value/key/timing audits before harmonization.,satisfied,audit rows=4; summary rows=13; harmonization-ready rows=0; climate-linkage-ready rows=0,temp/albania_existing_raw_wave_audit.csv;result/albania_existing_raw_wave_audit_summary.csv;report/albania_existing_raw_wave_audit.md,
cross_phase_alb2008_household_core_merge_audit,phase3,"Build a temp-only ALB_2008 household core candidate after merge-key coverage is audited, and keep it out of data until recipe gates pass.",satisfied,candidate rows=3599; merge audit rows=7; lineage rows=6; summary rows=33; recipe-ready rows=0,temp/alb2008_household_core_candidate.csv;temp/alb2008_household_core_merge_audit.csv;temp/alb2008_household_core_lineage.csv;result/alb2008_household_core_candidate_summary.csv;report/alb2008_household_core_merge_audit.md,
cross_phase_alb2008_provisional_outcome_feasibility,phase4,"Compute ALB_2008 provisional outcome event-rate diagnostics only after raw household-core assembly, and keep all final outcome promotion blocked.",satisfied,audit rows=24; summary rows=10; ready rows=0,temp/alb2008_provisional_outcome_feasibility_audit.csv;result/alb2008_provisional_outcome_feasibility_summary.csv;report/alb2008_provisional_outcome_feasibility.md,
cross_phase_alb2008_outcome_semantics_raw_value_audit,phase4,"Audit ALB_2008 raw payment, gift, access, need, coping, and service-quality labels/values before any outcome or SDG 3.8.2 promotion.",satisfied,audit rows=61; summary rows=16; OOP candidates=36; gift candidates=9; access candidates=8; facility/service proxy rows=8; conditional reason rows=4; outcome-ready rows=0; SDG 3.8.2-ready rows=0; climate-linkage-ready rows=0,temp/alb2008_outcome_semantics_raw_value_audit.csv;result/alb2008_outcome_semantics_raw_value_summary.csv;report/alb2008_outcome_semantics_raw_value_audit.md,
cross_phase_alb2008_timing_geography_exhaustive_audit,phase5,"Exhaustively scan ALB_2008 raw timing/geography candidates before constructing climate-linkage inputs, and keep linkage blocked until interview timing and geography are verified.",satisfied,audit rows=225; summary rows=15; climate-linkage-ready rows=0,temp/alb2008_timing_geography_exhaustive_audit.csv;result/alb2008_timing_geography_exhaustive_summary.csv;report/alb2008_timing_geography_exhaustive_audit.md,
cross_phase_alb2008_fallback_blocker_resolution_matrix,phase5,"Consolidate ALB_2008 fallback timing, geography, outcome, and promotion blockers into one fail-closed matrix before any fallback analysis promotion.",satisfied,matrix rows=10; summary rows=12; timing=3; geography=3; outcome=2; promotion_gate=2; hard-blocked rows=10; timing-ready rows=0; geography-ready rows=0; outcome-ready rows=0; climate-linkage-ready rows=0; data-write-ready rows=0; decision=blocked_alb2008_no_timing_geography_fallback_ready,temp/alb2008_fallback_blocker_resolution_matrix.csv;result/alb2008_fallback_blocker_resolution_summary.csv;report/alb2008_fallback_blocker_resolution_matrix.md,
cross_phase_first_batch_raw_verification_workbook,phase3,Provide post-download raw evidence templates for concept and variable verification before harmonization recipe promotion.,satisfied,dataset gate rows=10; concept template rows=130; variable template rows=917; summary rows=15; datasets ready for value audit=0,result/first_batch_dataset_verification_gate.csv;temp/first_batch_concept_verification_template.csv;temp/first_batch_variable_verification_template.csv;result/first_batch_raw_verification_workbook_summary.csv;report/first_batch_raw_verification_workbook.md,
cross_phase_direct_read_audit_bundle,phase14,"Provide one compact direct-read audit index of current gates, no-go status, completion gaps, and curated artifact evidence.",satisfied,bundle rows=119; manifest rows=453; summary rows=467; manifest present=453; manifest missing=0,result/direct_read_audit_bundle.csv;result/direct_read_artifact_manifest.csv;result/direct_read_audit_bundle_summary.csv;report/direct_read_audit_bundle.md,
phase14_reporting,phase14,"Write final report with empirical judgment, limitations, and next steps without overclaiming.",incomplete,final_report exists=True; completion complete=16; completion incomplete=0,report/final_report.md;result/completion_criteria_audit.csv,
reproducibility,reproducibility,"Provide one-command reproduction through Makefile or run_all scripts, except documented manual downloads.",satisfied,Makefile exists=True; run_all.sh exists=True; run_all.ps1 exists=True,Makefile;script/run_all.sh;script/run_all.ps1,
reproducibility_environment,reproducibility,Record Python runtime and package availability for the reproducible pipeline.,satisfied,package inventory rows=27; environment audit rows=4; incomplete environment checks=0,temp/python_package_inventory.csv;temp/python_package_freeze.txt;result/python_environment_audit.csv;result/python_environment_summary.csv;report/reproducibility_environment.md,
